time	frequency
0 1.98 45
0.72999999999999998	209.54957277571913
0.73999999999999999	205.65774401029978
0.75	202.83381487025349
0.76000000000000001	198.44570373435369
0.77000000000000002	195.57169117647368
0.78000000000000003	194.92431616235254
0.79000000000000004	193.15661238917437
0.80000000000000004	192.25639878767973
0.81000000000000005	191.75193289930544
0.82000000000000006	191.75598927279503
0.83000000000000007	190.94383459572202
0.84000000000000008	190.99300287421988
0.85000000000000009	191.65955609504454
0.85999999999999999	192.35932501759788
0.87	193.24503128118215
0.88	193.9629160699939
0.89000000000000001	194.59306056071449
0.90000000000000002	195.41439560331375
0.91000000000000003	195.67615682854949
0.92000000000000004	196.08524445289163
0.93000000000000005	195.96628394523231
0.94000000000000006	195.67644502783773
0.95000000000000007	195.2789859491289
0.96000000000000008	195.55899317249344
0.97000000000000008	195.44202316459044
0.97999999999999998	195.73858827876026
0.98999999999999999	196.07369330522664
1	196.02538715354305
1.01	195.02656278889128
1.02	193.54181375474619
1.03	191.24560262536372
1.04	189.12814792991205
1.05	188.37827415690035
1.0600000000000001	186.00218396685713
1.0700000000000001	183.12229530840654
1.0800000000000001	187.51313632225043
1.0900000000000001	186.58330714997183
1.1000000000000001	190.51494348099123
1.1100000000000001	192.65578719391658
1.1200000000000001	187.76505707765835
1.1300000000000001	96.156326946095717
1.1400000000000001	92.759188429749685
1.1500000000000001	91.771430169369452
1.1600000000000001	92.261481014608734
1.1700000000000002	91.77207418398406
