time	frequency
0.26215419501133785	363.06169123518657
0.27215419501133786	348.00648030345491
0.28215419501133787	348.01007715106778
0.29215419501133788	349.76954443482691
0.30215419501133789	348.64053513092182
0.31215419501133784	345.63494157269275
0.32215419501133785	339.70130105511208
0.33215419501133786	335.63673308144411
0.34215419501133787	333.06612087777376
0.35215419501133788	326.99482392649537
0.36215419501133789	314.66001545380266
0.3721541950113379	301.83369932562204
0.43215419501133789	331.23990321467937
0.44215419501133785	323.90185410538135
0.45215419501133786	335.82675255249598
0.46215419501133786	333.81359910693379
0.47215419501133787	327.65013640799009
0.48215419501133788	333.21217204776025
0.49215419501133789	331.68037252289503
