time	frequency
0.26100907029478454	117.1997706541753
0.27100907029478455	127.00002088267796
0.28100907029478456	132.73229168880366
0.29100907029478457	285.53413514465342
0.30100907029478458	293.68456250283936
0.31100907029478453	301.19645501027532
0.32100907029478454	310.17113047264701
0.33100907029478455	318.78049098462088
0.34100907029478456	323.80739666135617
0.35100907029478456	333.19972290289894
0.36100907029478457	328.0967810448318
0.37100907029478458	320.54300651491712
0.38100907029478454	316.20082626929769
0.39100907029478454	312.80817073045461
0.40100907029478455	310.00022531239551
0.41100907029478456	305.66303112751359
0.42100907029478457	299.14660171981535
0.43100907029478458	292.52065501208602
0.44100907029478453	282.28721192047385
